url,venue,description,name
/wiki/SummerSlam,Barclays Center,,SummerSlam
/wiki/SummerSlam,Barclays Center,,SummerSlam
/wiki/Royal_Rumble#Match,,,Royal Rumble match
"/wiki/Professional_wrestling_match_types#Hardcore-based_variations,/wiki/Hardcore_wrestling",,,"Extreme Rules,hardcore wrestling"
/wiki/Elimination_Chamber,,,Elimination Chamber
/wiki/Money_in_the_Bank_ladder_match,,,Money in the Bank ladder match
/wiki/List_of_WWE_championships,,,Every championship
/wiki/Hell_in_a_Cell_match,,,Hell in a Cell match
"/wiki/Professional_wrestling_match_types#Basic_elimination_matches,/wiki/Survivor_Series#Survivor_Series_matches",,,"elimination-style matches,traditional Survivor Series elimination tag-team match"
"/wiki/Tables,_Ladders,_and_Chairs_match,/wiki/Ladder_match",,,"Tables, Ladders, and Chairs match,ladder matches"
/wiki/Single-elimination_tournament,,,single-elimination tournament
"/wiki/The_Alliance_(professional_wrestling),/wiki/WCW,/wiki/Extreme_Championship_Wrestling",,,"The Alliance,WCW,ECW"
/wiki/Single-elimination_tournament,,,single-elimination tournament
/wiki/Extreme_Championship_Wrestling,,,ECW
,,,
"/wiki/Professional_wrestling_match_types#Variations_of_singles_matches,/wiki/%22I_Quit%22_match",,,"submission matches,""I Quit"" matches"
/wiki/Professional_wrestling_match_types#Basic_non-elimination_matches,,,fatal-four way matches
"/wiki/WWE_Raw,/wiki/WWE_SmackDown,/wiki/WWE_Brand_Extension,/wiki/Professional_wrestling_tag_team_match_types#Multiple_man_teamed_matches",,,"brands,14-man tag team match"
